detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
0,5,200,200,9952498,731,10000000,0.9952498,7.34488968182e-05,0.00420831179758
0,5,209.999162584,210,9938188,820,10000000,0.9938188,8.2510010692e-05,0.00472747538023
0,5,220,220,9952631,972,10000000,0.9952631,9.7662617745e-05,0.00559565581299
0,5,230,230,9963862,1053,10000000,0.9963862,0.000105681912905,0.00605512758032
0,5,240,240,9970123,1102,10000000,0.9970123,0.000110530230722,0.00633291572895
0,5,250,250,9972279,986,10000000,0.9972279,9.88740885395e-05,0.00566506797652
0,5,260,260,9971895,695,10000000,0.9971895,6.96958801587e-05,0.00399327978254
0,5,270,270,9973496,214,10000000,0.9973496,2.14568692831e-05,0.00122938805148
0,5,280,280,9972831,130,10000000,0.9972831,1.30354159208e-05,0.000746874316458
0,5,289.996923353,290,9971518,263,10000000,0.9971518,2.63751216153e-05,0.0015111831527
0,5,300,300,9980907,658,10000000,0.9980907,6.59258721724e-05,0.0037772742362
50,1,0,0,10000000,0,10000000,1,0,0
50,1,10,10,9999864,0,10000000,0.9999864,0,0
50,1,20,20,9990457,10,10000000,0.9990457,1.00095521156e-06,5.73505091039e-05
50,1,30,30,9990383,43,10000000,0.9990383,4.30413929073e-06,0.000246609015795
50,1,40,40,9990744,-6,10000000,0.9990744,-6.00555874517e-07,-3.44093169716e-05
